osm_type,osm_id,name,amenity,cuisine,addr:street,addr:housenumber,addr:postcode,addr:city,phone,website,opening_hours,operator,lat,lon,all_tags,contact:phone,contact:website,contact:email,description,internet_access,wifi,wheelchair,outdoor_seating,indoor_seating,smoking,smoking:outside,toilets,toilets:wheelchair,changing_table,highchair,air_conditioning,dog,reservations,max_seats,takeaway,delivery,drive_through,self_service,payment:cash,payment:cards,payment:debit_cards,payment:credit_cards,payment:contactless,payment:mastercard,payment:visa,payment:american_express,payment:google_pay,payment:apple_pay,payment:blik,payment:mobile_phone,diet:vegetarian,vegetarian,diet:vegan,vegan,diet:gluten_free,gluten_free,contact:facebook,contact:instagram,contact:twitter,contact:youtube,contact:tripadvisor,contact:booking,text_chunk
node,431131677,Pod Kapliczkami,cafe,,,,,,,,,,51.8472721,19.4710215,"{""amenity"": ""cafe"", ""name"": ""Pod Kapliczkami"", ""seasonal"": ""yes""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pod Kapliczkami — cafe Współrzędne: 51.847272, 19.471021. OSM: https://www.openstreetmap.org/node/431131677. Dodatkowe tagi: seasonal: yes."
node,432563854,Antonio,restaurant,pizza,Marcina Kasprzaka,26,91-078,Łódź,+48 42 651 39 75,https://www.kasprzaka-antonio.pl/,Mo-Th 11:00-22:00 Fr-Sa 11:00-23:00 Su 12:00-22:00,,51.7765047,19.427209,"{""addr:city"": ""Łódź"", ""addr:housenumber"": ""26"", ""addr:postcode"": ""91-078"", ""addr:street"": ""Marcina Kasprzaka"", ""amenity"": ""restaurant"", ""cuisine"": ""pizza"", ""delivery"": ""yes"", ""diet:vegetarian"": ""yes"", ""gluten_free"": ""no"", ""name"": ""Antonio"", ""opening_hours"": ""Mo-Th 11:00-22:00 Fr-Sa 11:00-23:00 Su 12:00-22:00"", ""phone"": ""+48 42 651 39 75"", ""takeaway"": ""yes"", ""vegan"": ""no"", ""website"": ""https://www.kasprzaka-antonio.pl/""}",+48 42 651 39 75,https://www.kasprzaka-antonio.pl/,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,yes,,,no,,no,,,,,,,"Antonio — restaurant Kuchnia: pizza. Adres: Marcina Kasprzaka 26, 91-078, Łódź. Godziny otwarcia: Mo-Th 11:00-22:00 Fr-Sa 11:00-23:00 Su 12:00-22:00. Telefon: +48 42 651 39 75. Strona: https://www.kasprzaka-antonio.pl/. Udogodnienia: Na wynos: yes; Dostawa: yes. Diety i alergeny: wegetariańskie: yes; wegańskie: no; bezglutenowe: no. Współrzędne: 51.776505, 19.427209. OSM: https://www.openstreetmap.org/node/432563854."
node,432598024,Bawełna,restaurant,italian,Ogrodowa,19,91-065,Łódź,+48 42 6333 444,https://bawelna-lodz.com/kontakt-i-rezerwacja/,Mo-Th 12:00-22:00 Fr-Sa 12:00-23:00 Su 12:00-21:00,,51.7794671,19.4497837,"{""addr:city"": ""Łódź"", ""addr:housenumber"": ""19"", ""addr:postcode"": ""91-065"", ""addr:street"": ""Ogrodowa"", ""amenity"": ""restaurant"", ""cuisine"": ""italian"", ""diet:vegetarian"": ""yes"", ""indoor_seating"": ""yes"", ""name"": ""Bawełna"", ""opening_hours"": ""Mo-Th 12:00-22:00 Fr-Sa 12:00-23:00 Su 12:00-21:00"", ""outdoor_seating"": ""yes"", ""phone"": ""+48 42 6333 444"", ""takeaway"": ""yes"", ""website"": ""https://bawelna-lodz.com/kontakt-i-rezerwacja/""}",+48 42 6333 444,https://bawelna-lodz.com/kontakt-i-rezerwacja/,,,,,,yes,yes,,,,,,,,,,,yes,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,"Bawełna — restaurant Kuchnia: italian. Adres: Ogrodowa 19, 91-065, Łódź. Godziny otwarcia: Mo-Th 12:00-22:00 Fr-Sa 12:00-23:00 Su 12:00-21:00. Telefon: +48 42 6333 444. Strona: https://bawelna-lodz.com/kontakt-i-rezerwacja/. Udogodnienia: Miejsca wewnątrz: yes; Miejsca na zewnątrz: yes; Na wynos: yes. Diety i alergeny: wegetariańskie: yes. Współrzędne: 51.779467, 19.449784. OSM: https://www.openstreetmap.org/node/432598024."
node,471020488,Rosario's,restaurant,,Aleja Stefana Wyszyńskiego,67,94-047,Łódź,426890951,https://www.rozarios.pl/,Mo-Su 12:00-22:00,,51.7443103,19.3891342,"{""addr:city"": ""Łódź"", ""addr:housenumber"": ""67"", ""addr:postcode"": ""94-047"", ""addr:street"": ""Aleja Stefana Wyszyńskiego"", ""amenity"": ""restaurant"", ""delivery"": ""yes"", ""name"": ""Rosario's"", ""opening_hours"": ""Mo-Su 12:00-22:00"", ""phone"": ""426890951"", ""takeaway"": ""yes"", ""vegan"": ""yes"", ""vegetarian"": ""yes"", ""website"": ""https://www.rozarios.pl/""}",426890951,https://www.rozarios.pl/,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,yes,,yes,,,,,,,,,"Rosario's — restaurant Adres: Aleja Stefana Wyszyńskiego 67, 94-047, Łódź. Godziny otwarcia: Mo-Su 12:00-22:00. Telefon: 426890951. Strona: https://www.rozarios.pl/. Udogodnienia: Na wynos: yes; Dostawa: yes. Diety i alergeny: wegetariańskie: yes; wegańskie: yes. Współrzędne: 51.744310, 19.389134. OSM: https://www.openstreetmap.org/node/471020488."
node,475360641,Komediowa,restaurant,,Piotrkowska,12,90-273,Łódź,+48791634114,https://komediowa.pl/kontakt/,,,51.774854,19.4552911,"{""addr:city"": ""Łódź"", ""addr:housenumber"": ""12"", ""addr:postcode"": ""90-273"", ""addr:street"": ""Piotrkowska"", ""amenity"": ""restaurant"", ""indoor_seating"": ""yes"", ""level"": ""0,_1"", ""name"": ""Komediowa"", ""outdoor_seating"": ""no"", ""phone"": ""+48791634114"", ""start_date"": ""2019-12-20"", ""website"": ""https://komediowa.pl/kontakt/"", ""wheelchair"": ""no""}",+48791634114,https://komediowa.pl/kontakt/,,,,,no,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Komediowa — restaurant Adres: Piotrkowska 12, 90-273, Łódź. Telefon: +48791634114. Strona: https://komediowa.pl/kontakt/. Udogodnienia: Dostęp dla wózków: no; Miejsca wewnątrz: yes; Miejsca na zewnątrz: no. Współrzędne: 51.774854, 19.455291. OSM: https://www.openstreetmap.org/node/475360641. Dodatkowe tagi: level: 0,_1; start_date: 2019-12-20."
node,475372905,Klub Spadkobierców,restaurant,,Piotrkowska,77,90-423,Łódź,+48 607216116,https://www.facebook.com/klub.spadkobiercow/?locale=pl_PL,Mo-Su 12:00-22:00,,51.7673894,19.456411,"{""addr:city"": ""Łódź"", ""addr:housenumber"": ""77"", ""addr:postcode"": ""90-423"", ""addr:street"": ""Piotrkowska"", ""amenity"": ""restaurant"", ""diet:gluten_free"": ""yes"", ""diet:vegan"": ""yes"", ""diet:vegetarian"": ""yes"", ""discount:citycard"": ""no"", ""name"": ""Klub Spadkobierców"", ""note"": ""only reservations"", ""opening_hours"": ""Mo-Su 12:00-22:00"", ""phone"": ""+48 607216116"", ""website"": ""https://www.facebook.com/klub.spadkobiercow/?locale=pl_PL""}",+48 607216116,https://www.facebook.com/klub.spadkobiercow/?locale=pl_PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,yes,,yes,,,,,,,,"Klub Spadkobierców — restaurant Adres: Piotrkowska 77, 90-423, Łódź. Godziny otwarcia: Mo-Su 12:00-22:00. Telefon: +48 607216116. Strona: https://www.facebook.com/klub.spadkobiercow/?locale=pl_PL. Diety i alergeny: wegetariańskie: yes; wegańskie: yes; bezglutenowe: yes. Współrzędne: 51.767389, 19.456411. OSM: https://www.openstreetmap.org/node/475372905. Dodatkowe tagi: discount:citycard: no; note: only reservations."
node,475373797,Sphinx,restaurant,shawarma,Piotrkowska,93,90-423,Łódź,+48426306129,https://menu.sphinx.pl/003/,"Mo - Th 12:00 - 21:00, Fr - Sa 12:00 - 00:00, Su 12:00 - 21:00",,51.7658405,19.4568706,"{""addr:city"": ""Łódź"", ""addr:housenumber"": ""93"", ""addr:postcode"": ""90-423"", ""addr:street"": ""Piotrkowska"", ""amenity"": ""restaurant"", ""cuisine"": ""shawarma"", ""delivery"": ""yes"", ""diet:gluten_free"": ""no"", ""diet:vegan"": ""yes"", ""diet:vegetarian"": ""yes"", ""discount:citycard"": ""no"", ""indoor_seating"": ""yes"", ""name"": ""Sphinx"", ""opening_hours"": ""Mo - Th 12:00 - 21:00, Fr - Sa 12:00 - 00:00, Su 12:00 - 21:00"", ""outdoor_seating"": ""yes"", ""phone"": ""+48426306129"", ""takeaway"": ""yes"", ""website"": ""https://menu.sphinx.pl/003/"", ""wheelchair"": ""limited""}",+48426306129,https://menu.sphinx.pl/003/,,,,,limited,yes,yes,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,yes,,yes,,no,,,,,,,,"Sphinx — restaurant Kuchnia: shawarma. Adres: Piotrkowska 93, 90-423, Łódź. Godziny otwarcia: Mo - Th 12:00 - 21:00, Fr - Sa 12:00 - 00:00, Su 12:00 - 21:00. Telefon: +48426306129. Strona: https://menu.sphinx.pl/003/. Udogodnienia: Dostęp dla wózków: limited; Miejsca wewnątrz: yes; Miejsca na zewnątrz: yes; Na wynos: yes; Dostawa: yes. Diety i alergeny: wegetariańskie: yes; wegańskie: yes; bezglutenowe: no. Współrzędne: 51.765841, 19.456871. OSM: https://www.openstreetmap.org/node/475373797. Dodatkowe tagi: discount:citycard: no."
node,475373798,Bierhalle Esplanada,restaurant,bavarian,Piotrkowska,100,,Łódź,+48 507663851,https://www.bierhalle.pl/wybierz-lokal/lodz-esplanada-ul-piotrkowska-100,Su-Th 10:00-23:00; Fr-Sa 10:00-01:00,,51.7651682,19.4574626,"{""addr:city"": ""Łódź"", ""addr:housenumber"": ""100"", ""addr:street"": ""Piotrkowska"", ""amenity"": ""restaurant"", ""cuisine"": ""bavarian"", ""delivery"": ""yes"", ""diet:vegetarian"": ""yes"", ""discount:citycard"": ""yes"", ""email"": ""bierhalle.esplanada@globrest.com"", ""indoor_seating"": ""yes"", ""name"": ""Bierhalle Esplanada"", ""opening_hours"": ""Su-Th 10:00-23:00; Fr-Sa 10:00-01:00"", ""outdoor_seating"": ""yes"", ""phone"": ""+48 507663851"", ""takeaway"": ""yes"", ""website"": ""https://www.bierhalle.pl/wybierz-lokal/lodz-esplanada-ul-piotrkowska-100"", ""wheelchair"": ""limited""}",+48 507663851,https://www.bierhalle.pl/wybierz-lokal/lodz-esplanada-ul-piotrkowska-100,bierhalle.esplanada@globrest.com,,,,limited,yes,yes,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,yes,,,,,,,,,,,,"Bierhalle Esplanada — restaurant Kuchnia: bavarian. Adres: Piotrkowska 100, Łódź. Godziny otwarcia: Su-Th 10:00-23:00; Fr-Sa 10:00-01:00. Telefon: +48 507663851. Strona: https://www.bierhalle.pl/wybierz-lokal/lodz-esplanada-ul-piotrkowska-100. Udogodnienia: Dostęp dla wózków: limited; Miejsca wewnątrz: yes; Miejsca na zewnątrz: yes; Na wynos: yes; Dostawa: yes. Diety i alergeny: wegetariańskie: yes. Współrzędne: 51.765168, 19.457463. OSM: https://www.openstreetmap.org/node/475373798. Dodatkowe tagi: discount:citycard: yes; email: bierhalle.esplanada@globrest.com."
node,475963866,Kucak,restaurant,chinese;thai,Pstrągowa,49a,91-496,Łódź,504459200,https://www.kucak.pl/contact,"Mo-Sa 10:00 - 21:00, Su 12:00 - 20:00",,51.8210558,19.4408182,"{""addr:city"": ""Łódź"", ""addr:housenumber"": ""49a"", ""addr:postcode"": ""91-496"", ""addr:street"": ""Pstrągowa"", ""amenity"": ""restaurant"", ""cuisine"": ""chinese;thai"", ""delivery"": ""yes"", ""discount:citycard"": ""yes"", ""name"": ""Kucak"", ""opening_hours"": ""Mo-Sa 10:00 - 21:00, Su 12:00 - 20:00"", ""phone"": ""504459200"", ""takeaway"": ""yes"", ""vegan"": ""yes"", ""vegetarian"": ""yes"", ""website"": ""https://www.kucak.pl/contact"", ""wheelchair"": ""yes""}",504459200,https://www.kucak.pl/contact,,,,,yes,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,yes,,yes,,,,,,,,,"Kucak — restaurant Kuchnia: chinese, thai, chinese;thai. Adres: Pstrągowa 49a, 91-496, Łódź. Godziny otwarcia: Mo-Sa 10:00 - 21:00, Su 12:00 - 20:00. Telefon: 504459200. Strona: https://www.kucak.pl/contact. Udogodnienia: Dostęp dla wózków: yes; Na wynos: yes; Dostawa: yes. Diety i alergeny: wegetariańskie: yes; wegańskie: yes. Współrzędne: 51.821056, 19.440818. OSM: https://www.openstreetmap.org/node/475963866. Dodatkowe tagi: discount:citycard: yes."
node,475963874,Da Grasso,restaurant,pizza,Księdza Zdzisława Wujaka,5 lok. 8 i 13,92-551,Łódź,504 908 481,https://www.dagrasso.pl/lodz-baluty,"Mo-Th 11:00-22:00; Fr,Sa 11:00-23:00; Su 12:00-22:00",,51.7568288,19.5370763,"{""addr:city"": ""Łódź"", ""addr:housenumber"": ""5 lok. 8 i 13"", ""addr:postcode"": ""92-551"", ""addr:street"": ""Księdza Zdzisława Wujaka"", ""amenity"": ""restaurant"", ""brand"": ""Da Grasso"", ""brand:wikidata"": ""Q11692586"", ""cuisine"": ""pizza"", ""diet:vegetarian"": ""yes"", ""name"": ""Da Grasso"", ""opening_hours"": ""Mo-Th 11:00-22:00; Fr,Sa 11:00-23:00; Su 12:00-22:00"", ""phone"": ""504 908 481"", ""website"": ""https://www.dagrasso.pl/lodz-baluty""}",504 908 481,https://www.dagrasso.pl/lodz-baluty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,"Da Grasso — restaurant Kuchnia: pizza. Adres: Księdza Zdzisława Wujaka 5 lok. 8 i 13, 92-551, Łódź. Godziny otwarcia: Mo-Th 11:00-22:00; Fr,Sa 11:00-23:00; Su 12:00-22:00. Telefon: 504 908 481. Strona: https://www.dagrasso.pl/lodz-baluty. Diety i alergeny: wegetariańskie: yes. Współrzędne: 51.756829, 19.537076. OSM: https://www.openstreetmap.org/node/475963874. Dodatkowe tagi: brand: Da Grasso; brand:wikidata: Q11692586."
node,506145823,Marie,restaurant,oriental;polish;international,Józefa Elsnera,23,92-504,Łódź,423070039,https://www.restauracja-marie.com/menu,Mo-Th 11:00-17:00; Fr 11:00-21:00; Sa 12:00-21:00; Su 12:00-19:00,,51.7565208,19.5340718,"{""addr:city"": ""Łódź"", ""addr:housenumber"": ""23"", ""addr:postcode"": ""92-504"", ""addr:street"": ""Józefa Elsnera"", ""amenity"": ""restaurant"", ""check_date"": ""2025-05-23"", ""cuisine"": ""oriental;polish;international"", ""name"": ""Marie"", ""opening_hours"": ""Mo-Th 11:00-17:00; Fr 11:00-21:00; Sa 12:00-21:00; Su 12:00-19:00"", ""phone"": ""423070039"", ""website"": ""https://www.restauracja-marie.com/menu""}",423070039,https://www.restauracja-marie.com/menu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marie — restaurant Kuchnia: oriental, polish, international, oriental;polish;international. Adres: Józefa Elsnera 23, 92-504, Łódź. Godziny otwarcia: Mo-Th 11:00-17:00; Fr 11:00-21:00; Sa 12:00-21:00; Su 12:00-19:00. Telefon: 423070039. Strona: https://www.restauracja-marie.com/menu. Współrzędne: 51.756521, 19.534072. OSM: https://www.openstreetmap.org/node/506145823. Dodatkowe tagi: check_date: 2025-05-23."
node,506145836,La Vende Rosso,restaurant,european,Józefa Elsnera,23,92-504,Łódź,+48 504 041 404,https://www.facebook.com/LaVendeRosso/,"Mo-Fr 11:30-21:00, Sa-Su 11:30-22:00",,51.7563764,19.5337987,"{""addr:city"": ""Łódź"", ""addr:housenumber"": ""23"", ""addr:postcode"": ""92-504"", ""addr:street"": ""Józefa Elsnera"", ""amenity"": ""restaurant"", ""cuisine"": ""european"", ""delivery"": ""yes"", ""diet:gluten_free"": ""no"", ""diet:vegan"": ""yes"", ""diet:vegetarian"": ""yes"", ""discount:citycard"": ""yes"", ""email"": ""lavende.rosso@wp.pl"", ""name"": ""La Vende Rosso"", ""opening_hours"": ""Mo-Fr 11:30-21:00, Sa-Su 11:30-22:00"", ""phone"": ""+48 504 041 404"", ""takeaway"": ""yes"", ""website"": ""https://www.facebook.com/LaVendeRosso/""}",+48 504 041 404,https://www.facebook.com/LaVendeRosso/,lavende.rosso@wp.pl,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,yes,,yes,,no,,,,,,,,"La Vende Rosso — restaurant Kuchnia: european. Adres: Józefa Elsnera 23, 92-504, Łódź. Godziny otwarcia: Mo-Fr 11:30-21:00, Sa-Su 11:30-22:00. Telefon: +48 504 041 404. Strona: https://www.facebook.com/LaVendeRosso/. Udogodnienia: Na wynos: yes; Dostawa: yes. Diety i alergeny: wegetariańskie: yes; wegańskie: yes; bezglutenowe: no. Współrzędne: 51.756376, 19.533799. OSM: https://www.openstreetmap.org/node/506145836. Dodatkowe tagi: discount:citycard: yes; email: lavende.rosso@wp.pl."
node,506151016,Tortunio pracownia wypieków,cafe,coffee_shop;cake,Ketlinga,23,92-431,Łódź,506029772,https://tortunio.pl/,,,51.7490844,19.571653,"{""addr:city"": ""Łódź"", ""addr:housenumber"": ""23"", ""addr:postcode"": ""92-431"", ""addr:street"": ""Ketlinga"", ""amenity"": ""cafe"", ""cuisine"": ""coffee_shop;cake"", ""name"": ""Tortunio pracownia wypieków"", ""phone"": ""506029772"", ""vegetarian"": ""yes"", ""website"": ""https://tortunio.pl/""}",506029772,https://tortunio.pl/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,"Tortunio pracownia wypieków — cafe Kuchnia: coffee_shop, cake, coffee_shop;cake. Adres: Ketlinga 23, 92-431, Łódź. Telefon: 506029772. Strona: https://tortunio.pl/. Diety i alergeny: wegetariańskie: yes. Współrzędne: 51.749084, 19.571653. OSM: https://www.openstreetmap.org/node/506151016."
node,564843422,Whisky In The Jar,restaurant,,,,,,+48 516 136 876,https://whiskeyinthejar.pl/lodz/,,,51.7800799,19.4495826,"{""amenity"": ""restaurant"", ""indoor_seating"": ""yes"", ""name"": ""Whisky In The Jar"", ""outdoor_seating"": ""yes"", ""phone"": ""+48 516 136 876"", ""website"": ""https://whiskeyinthejar.pl/lodz/""}",+48 516 136 876,https://whiskeyinthejar.pl/lodz/,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Whisky In The Jar — restaurant Telefon: +48 516 136 876. Strona: https://whiskeyinthejar.pl/lodz/. Udogodnienia: Miejsca wewnątrz: yes; Miejsca na zewnątrz: yes. Współrzędne: 51.780080, 19.449583. OSM: https://www.openstreetmap.org/node/564843422."
